quantity,vintage,full_name,category,colour,country,region,subregion,appellation,location_text,bottle_size,producer,wine_name,storage_location,purchase_price,current_value,drink_from,drink_to,notes
1,1996,Veuve Clicquot Champagne Brut Vintage,SPARKLING WINES,White,France,Champagne,,,"France, Champagne",750ml,,Veuve Clicquot Champagne Brut Vintage,,,,,,
6,2023,Bodega Chacra Chardonnay Mainque,DRY WINES,White,Argentina,Patagonia,,,"Argentina, Patagonia",750ml,,Bodega Chacra Chardonnay Mainque,,,,,,
2,2019,Rainer Wess Grüner Veltliner,DRY WINES,White,Austria,Niederösterreich,Wachau,,"Austria, Niederösterreich, Wachau",750ml,,Rainer Wess Grüner Veltliner,,,,,,
3,2019,The Wine Society Sauvignon Blanc,DRY WINES,White,France,Bordeaux,,,"France, Bordeaux",750ml,,The Wine Society Sauvignon Blanc,,,,,,
6,2022,Arnaud Baillot Bourgogne Côte d'Or Blanc,DRY WINES,White,France,Burgundy,Bourgogne Côte d'Or,,"France, Burgundy, Bourgogne Côte d'Or",750ml,,Arnaud Baillot Bourgogne Côte d'Or Blanc,,,,,,
1,2018,Samuel Billaud Chablis,DRY WINES,White,France,Burgundy,Chablis,,"France, Burgundy, Chablis",1.5L,,Samuel Billaud Chablis,,,,,,
12,2022,J.M. Boillot Bourgogne Blanc,DRY WINES,White,France,Burgundy,Bourgogne Blanc,,"France, Burgundy, Bourgogne Blanc",750ml,,J.M. Boillot Bourgogne Blanc,,,,,,
2,2018,Joseph Burrier Pouilly-Fuissé Wine Society Exhibition,DRY WINES,White,France,Burgundy,Mâconnais,Pouilly-Fuissé,"France, Burgundy, Mâconnais, Pouilly-Fuissé",750ml,,Joseph Burrier Pouilly-Fuissé Wine Society Exhibition,,,,,,
6,2022,Château de Charodon Bourgogne,DRY WINES,White,France,Burgundy,Bourgogne,,"France, Burgundy, Bourgogne",750ml,,Château de Charodon Bourgogne,,,,,,
12,2020,Château du Clos Pouilly-Fuissé,DRY WINES,White,France,Burgundy,Mâconnais,Pouilly-Fuissé,"France, Burgundy, Mâconnais, Pouilly-Fuissé",750ml,,Château du Clos Pouilly-Fuissé,,,,,,
6,2018,Domaine Fabien Coche Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Domaine Fabien Coche Auxey-Duresses Blanc,,,,,,
6,2020,Domaine Fabien Coche Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Domaine Fabien Coche Auxey-Duresses Blanc,,,,,,
12,2021,Domaine Fabien Coche Auxey-Duresses Blanc,DRY WINES,White,France,Burgundy,Côte de Beaune,Auxey-Duresses,"France, Burgundy, Côte de Beaune, Auxey-Duresses",750ml,,Domaine Fabien Coche Auxey-Duresses Blanc,,,,,,
